1	6.488	0.973
2	6.488	1.076
3	6.488	1.198
4	6.492	1.311
5	6.497	1.435
6	6.504	1.550
7	6.511	1.658
8	6.520	1.775
9	6.536	1.879
10	6.545	1.989
11	0	0
12	6.488	0.966
13	6.492	1.053
14	6.495	1.134
15	6.497	1.210
16	6.501	1.302
17	6.504	1.366
18	6.515	1.479
19	6.522	1.559
20	6.534	1.651
21	6.543	1.762
22	0	0
23	6.497	0.964
24	6.499	1.035
25	6.506	1.127
26	6.506	1.226
27	6.515	1.325
28	6.524	1.419
29	6.536	1.516
30	6.550	1.596
31	6.561	1.674
32	6.580	1.771
33	0	0
34	6.497	0.957
35	6.506	1.049
36	6.506	1.141
37	6.515	1.217
38	6.520	1.299
39	6.534	1.382
40	6.550	1.479
41	6.568	1.568
42	6.589	1.665
43	6.614	1.759
44	0	0
45	6.506	0.934
46	6.508	1.021
47	6.522	1.113
48	6.534	1.219
49	6.545	1.318
50	6.557	1.412
51	6.584	1.522
52	6.607	1.591
53	6.637	1.679
54	6.669	1.752
55	0	0
56	6.515	0.943
57	6.522	1.035
58	6.536	1.141
59	6.552	1.235
60	6.564	1.320
61	6.580	1.401
62	6.598	1.486
63	6.635	1.559
64	6.672	1.635
65	6.713	1.704
66	0	0
