 ,Area,Mean,Min,Max
1,49.720,152.735,0,255
2,42.793,146.537,0,255
3,31.482,148.024,1,255
4,24.048,141.715,0,255
5,8.473,125.390,0,255
6,3.026,118.934,1,255
