 ,Area,Mean,Min,Max
1,50.459,154.693,0,255
2,43.353,155.397,0,255
3,39.654,156.340,0,255
4,35.292,154.353,0,255
5,23.646,145.177,0,255
6,5.185,128.179,0,255
