# J =   -1.00000E+00  LX =         75  LY =         75  LZ =         75
#      T             E            dE             M            dM            Cv             dCv          Khi           dKhi       Binder        dBinder         MCsize      dMCsize         L             N            calctime  
#      1             2             3             4             5             6             7              8            9            10            11             12           13            14            15            16      
   3.50000E+00  -2.39946E+00   4.92720E-05   8.80660E-01   1.10587E-05   7.84479E-01   1.13961E-02   1.26219E-06   1.79576E-08   6.66664E-01   1.05367E-08   7.77007E-01   2.75349E-03   7.50000E+01   4.21875E+05   8.89523E+02
   3.51000E+00  -2.39166E+00   4.68830E-05   8.78867E-01   1.15580E-05   7.67175E-01   1.09851E-02   1.25016E-06   1.75425E-08   6.66665E-01           NaN   7.71378E-01   3.02845E-03   7.50000E+01   4.21875E+05   8.86039E+02
   3.52000E+00  -2.38383E+00   4.97647E-05   8.77051E-01   1.19362E-05   7.96656E-01   1.09756E-02   1.32304E-06   1.84589E-08   6.66664E-01   2.58096E-08   7.66020E-01   2.96605E-03   7.50000E+01   4.21875E+05   8.80211E+02
   3.53000E+00  -2.37588E+00   4.94716E-05   8.75215E-01   1.18957E-05   8.14529E-01   1.15191E-02   1.36756E-06   1.90061E-08   6.66664E-01   3.79907E-08   7.57420E-01   2.92850E-03   7.50000E+01   4.21875E+05   8.73969E+02
   3.54000E+00  -2.36798E+00   5.07824E-05   8.73373E-01   1.17595E-05   8.11752E-01   1.15075E-02   1.38881E-06   1.94902E-08   6.66664E-01   6.05288E-08   7.64197E-01   2.92969E-03   7.50000E+01   4.21875E+05   8.79469E+02
   3.55000E+00  -2.35975E+00   4.95588E-05   8.71453E-01   1.14749E-05   8.10464E-01   1.09367E-02   1.39666E-06   1.92104E-08   6.66664E-01   1.49012E-08   7.60256E-01   2.92360E-03   7.50000E+01   4.21875E+05   8.72547E+02
   3.56000E+00  -2.35175E+00   5.04483E-05   8.69573E-01   1.27160E-05   8.34299E-01   1.17643E-02   1.47508E-06   2.05852E-08   6.66664E-01   4.08085E-08   7.52353E-01   2.95872E-03   7.50000E+01   4.21875E+05   8.66055E+02
   3.57000E+00  -2.34351E+00   4.85235E-05   8.67636E-01   1.26876E-05   8.16822E-01   1.17623E-02   1.46466E-06   2.07759E-08   6.66664E-01   3.33200E-08   7.51204E-01   2.92592E-03   7.50000E+01   4.21875E+05   8.56891E+02
   3.58000E+00  -2.33511E+00   5.07506E-05   8.65642E-01   1.22029E-05   8.55459E-01   1.21083E-02   1.53277E-06   2.20502E-08   6.66664E-01   1.05367E-08   7.47749E-01   3.10410E-03   7.50000E+01   4.21875E+05   8.55836E+02
   3.59000E+00  -2.32691E+00   5.21262E-05   8.63694E-01   1.23664E-05   8.28157E-01   1.14551E-02   1.53271E-06   2.14841E-08   6.66664E-01           NaN   7.45549E-01   3.02844E-03   7.50000E+01   4.21875E+05   8.53469E+02
   3.60000E+00  -2.31846E+00   5.28491E-05   8.61673E-01   1.27050E-05   8.52839E-01   1.15949E-02   1.59023E-06   2.30114E-08   6.66664E-01           NaN   7.40003E-01   3.00366E-03   7.50000E+01   4.21875E+05   8.51766E+02
   3.61000E+00  -2.31001E+00   5.14250E-05   8.59652E-01   1.36573E-05   8.84894E-01   1.24445E-02   1.67721E-06   2.32208E-08   6.66664E-01   1.05367E-08   7.43509E-01   3.02763E-03   7.50000E+01   4.21875E+05   8.53984E+02
   3.62000E+00  -2.30123E+00   5.22042E-05   8.57533E-01   1.21267E-05   8.70373E-01   1.27688E-02   1.66140E-06   2.44589E-08   6.66664E-01   4.59285E-08   7.35512E-01   2.94756E-03   7.50000E+01   4.21875E+05   8.42570E+02
   3.63000E+00  -2.29262E+00   4.99898E-05   8.55450E-01   1.33260E-05   8.51069E-01   1.31873E-02   1.63083E-06   2.36415E-08   6.66664E-01   2.98023E-08   7.33974E-01   2.93921E-03   7.50000E+01   4.21875E+05   8.39695E+02
   3.64000E+00  -2.28383E+00   5.22741E-05   8.53308E-01   1.30108E-05   8.47208E-01   1.24520E-02   1.69530E-06   2.42017E-08   6.66664E-01   4.08085E-08   7.22326E-01   3.11293E-03   7.50000E+01   4.21875E+05   8.28953E+02
   3.65000E+00  -2.27512E+00   5.30691E-05   8.51184E-01   1.36387E-05   9.10800E-01   1.26985E-02   1.83327E-06   2.51632E-08   6.66663E-01   4.94216E-08   7.22660E-01   2.97328E-03   7.50000E+01   4.21875E+05   8.30641E+02
   3.66000E+00  -2.26618E+00   5.42212E-05   8.48988E-01   1.35791E-05   9.13318E-01   1.29381E-02   1.85081E-06   2.53136E-08   6.66663E-01   2.58096E-08   7.25882E-01   2.99338E-03   7.50000E+01   4.21875E+05   8.33773E+02
   3.67000E+00  -2.25732E+00   5.30077E-05   8.46811E-01   1.29165E-05   8.58472E-01   1.18398E-02   1.78312E-06   2.44922E-08   6.66663E-01   1.49012E-08   7.13269E-01   3.13275E-03   7.50000E+01   4.21875E+05   8.22266E+02
   3.68000E+00  -2.24808E+00   5.57670E-05   8.44510E-01   1.39046E-05   9.22956E-01   1.33548E-02   1.93863E-06   2.78502E-08   6.66663E-01           NaN   7.13117E-01   3.09254E-03   7.50000E+01   4.21875E+05   8.21625E+02
   3.69000E+00  -2.23901E+00   5.55807E-05   8.42249E-01   1.39830E-05   9.32367E-01   1.32283E-02   1.99950E-06   2.91535E-08   6.66663E-01           NaN   7.08163E-01   3.00767E-03   7.50000E+01   4.21875E+05   8.15734E+02
   3.70000E+00  -2.22966E+00   5.50593E-05   8.39905E-01   1.44814E-05   9.44007E-01   1.39688E-02   2.07877E-06   3.14370E-08   6.66663E-01   2.10734E-08   7.05767E-01   3.04768E-03   7.50000E+01   4.21875E+05   8.10359E+02
