# J =   -1.00000E+00  LX =         15  LY =         15  LZ =         15
#      T             E            dE             M            dM            Cv             dCv          Khi           dKhi       Binder        dBinder         MCsize      dMCsize         L             N            calctime  
#      1             2             3             4             5             6             7              8            9            10            11             12           13            14            15            16      
   3.50000E+00  -2.39912E+00   5.32796E-04   8.80629E-01   1.24973E-04   7.67625E-01   1.13966E-02   1.54598E-04   2.21405E-06   6.66402E-01           NaN   7.80335E-01   2.79156E-03   1.50000E+01   3.37500E+03   6.30800E+00
   3.51000E+00  -2.39233E+00   5.45782E-04   8.78970E-01   1.24623E-04   7.69402E-01   1.06084E-02   1.57838E-04   2.39785E-06   6.66395E-01   3.79907E-08   7.71599E-01   2.83971E-03   1.50000E+01   3.37500E+03   6.26800E+00
   3.52000E+00  -2.38383E+00   5.42696E-04   8.77130E-01   1.23792E-04   7.72471E-01   1.06459E-02   1.58919E-04   2.24079E-06   6.66392E-01           NaN   7.69574E-01   2.80529E-03   1.50000E+01   3.37500E+03   6.39200E+00
   3.53000E+00  -2.37574E+00   5.45748E-04   8.75152E-01   1.29178E-04   7.83660E-01   1.13544E-02   1.64691E-04   2.34775E-06   6.66381E-01           NaN   7.70883E-01   2.80299E-03   1.50000E+01   3.37500E+03   6.34400E+00
   3.54000E+00  -2.36734E+00   5.45074E-04   8.73236E-01   1.35382E-04   8.13510E-01   1.15070E-02   1.70845E-04   2.42034E-06   6.66369E-01           NaN   7.62986E-01   2.87959E-03   1.50000E+01   3.37500E+03   6.28400E+00
   3.55000E+00  -2.36124E+00   5.54138E-04   8.71781E-01   1.24559E-04   7.91607E-01   1.16540E-02   1.72176E-04   2.59978E-06   6.66366E-01           NaN   7.62080E-01   2.94363E-03   1.50000E+01   3.37500E+03   6.25200E+00
   3.56000E+00  -2.35194E+00   5.49980E-04   8.69677E-01   1.31321E-04   8.17039E-01   1.14457E-02   1.79097E-04   2.69149E-06   6.66352E-01           NaN   7.55544E-01   2.86573E-03   1.50000E+01   3.37500E+03   6.35600E+00
   3.57000E+00  -2.34370E+00   5.57404E-04   8.67722E-01   1.32227E-04   8.18291E-01   1.15482E-02   1.82423E-04   2.57407E-06   6.66344E-01           NaN   7.52244E-01   2.90854E-03   1.50000E+01   3.37500E+03   6.26800E+00
   3.58000E+00  -2.33503E+00   5.56512E-04   8.65717E-01   1.30762E-04   8.29088E-01   1.15202E-02   1.88056E-04   2.72811E-06   6.66333E-01           NaN   7.47525E-01   2.99117E-03   1.50000E+01   3.37500E+03   6.26800E+00
   3.59000E+00  -2.32791E+00   5.40640E-04   8.63965E-01   1.38772E-04   8.60887E-01   1.24437E-02   1.94909E-04   2.64181E-06   6.66320E-01           NaN   7.46068E-01   2.98000E-03   1.50000E+01   3.37500E+03   6.29600E+00
