# J =   -1.00000E+00  LX =         90  LY =         90  LZ =         90
#      T             E            dE             M            dM            Cv             dCv          Khi           dKhi       Binder        dBinder         MCsize      dMCsize         L             N            calctime  
#      1             2             3             4             5             6             7              8            9            10            11             12           13            14            15            16      
   3.50000E+00  -2.39943E+00   3.60188E-05   8.80648E-01   8.31009E-06   7.78868E-01   1.06402E-02   7.20256E-07   1.02335E-08   6.66665E-01           NaN   7.78231E-01   2.72856E-03   9.00000E+01   7.29000E+05   1.86845E+03
   3.51000E+00  -2.39172E+00   3.61331E-05   8.78879E-01   8.36296E-06   7.92324E-01   1.15932E-02   7.45800E-07   1.03143E-08   6.66665E-01           NaN   7.72798E-01   2.87171E-03   9.00000E+01   7.29000E+05   1.85498E+03
   3.52000E+00  -2.38385E+00   3.73672E-05   8.77062E-01   8.68022E-06   7.82760E-01   1.16654E-02   7.47311E-07   1.09318E-08   6.66665E-01           NaN   7.72956E-01   2.78399E-03   9.00000E+01   7.29000E+05   1.85688E+03
   3.53000E+00  -2.37591E+00   3.63168E-05   8.75221E-01   8.60055E-06   7.88107E-01   1.16682E-02   7.65600E-07   1.08877E-08   6.66665E-01           NaN   7.68006E-01   2.74841E-03   9.00000E+01   7.29000E+05   1.84266E+03
   3.54000E+00  -2.36793E+00   3.59987E-05   8.73361E-01   8.93970E-06   8.02700E-01   1.15348E-02   7.92347E-07   1.13660E-08   6.66665E-01           NaN   7.64274E-01   2.96008E-03   9.00000E+01   7.29000E+05   1.83736E+03
   3.55000E+00  -2.35989E+00   3.79163E-05   8.71487E-01   9.06866E-06   8.17476E-01   1.10704E-02   8.18898E-07   1.15325E-08   6.66665E-01           NaN   7.60722E-01   2.92474E-03   9.00000E+01   7.29000E+05   1.82848E+03
   3.56000E+00  -2.35174E+00   3.74319E-05   8.69574E-01   9.06876E-06   8.17712E-01   1.16722E-02   8.27500E-07   1.21665E-08   6.66665E-01   1.82501E-08   7.52704E-01   2.95879E-03   9.00000E+01   7.29000E+05   1.81988E+03
   3.57000E+00  -2.34351E+00   3.77361E-05   8.67632E-01   9.31835E-06   8.02869E-01   1.12029E-02   8.31908E-07   1.17996E-08   6.66665E-01           NaN   7.54932E-01   2.95267E-03   9.00000E+01   7.29000E+05   1.83031E+03
   3.58000E+00  -2.33522E+00   3.60159E-05   8.65666E-01   9.19673E-06   8.24540E-01   1.17695E-02   8.60970E-07   1.22182E-08   6.66665E-01           NaN   7.50971E-01   2.89659E-03   9.00000E+01   7.29000E+05   1.81822E+03
   3.59000E+00  -2.32679E+00   3.91750E-05   8.63669E-01   9.47329E-06   8.44965E-01   1.21469E-02   8.93938E-07   1.27832E-08   6.66665E-01           NaN   7.43360E-01   2.96513E-03   9.00000E+01   7.29000E+05   1.80908E+03
