# J =   -1.00000E+00  LX =         60  LY =         60  LZ =         60
#      T             E            dE             M            dM            Cv             dCv          Khi           dKhi       Binder        dBinder         MCsize      dMCsize         L             N            calctime  
#      1             2             3             4             5             6             7              8            9            10            11             12           13            14            15            16      
   3.50000E+00  -2.39944E+00   6.67754E-05   8.80649E-01   1.51984E-05   7.86714E-01   1.10004E-02   2.46669E-06   3.46716E-08   6.66662E-01           NaN   7.74971E-01   3.00581E-03   6.00000E+01   2.16000E+05   3.74672E+02
   3.51000E+00  -2.39155E+00   6.88243E-05   8.78834E-01   1.59715E-05   8.00361E-01   1.16470E-02   2.55158E-06   3.58794E-08   6.66662E-01   2.35608E-08   7.78999E-01   2.81546E-03   6.00000E+01   2.16000E+05   3.74891E+02
   3.52000E+00  -2.38378E+00   6.67464E-05   8.77047E-01   1.60937E-05   7.61739E-01   1.06578E-02   2.46292E-06   3.43362E-08   6.66662E-01   2.10734E-08   7.70219E-01   2.85891E-03   6.00000E+01   2.16000E+05   3.71289E+02
   3.53000E+00  -2.37597E+00   6.69823E-05   8.75235E-01   1.60000E-05   7.74093E-01   1.09067E-02   2.55209E-06   3.58298E-08   6.66662E-01           NaN   7.64705E-01   2.94007E-03   6.00000E+01   2.16000E+05   3.69094E+02
   3.54000E+00  -2.36774E+00   6.70263E-05   8.73318E-01   1.65368E-05   7.86435E-01   1.12375E-02   2.63669E-06   3.58703E-08   6.66662E-01   6.23360E-08   7.58735E-01   2.90992E-03   6.00000E+01   2.16000E+05   3.62883E+02
   3.55000E+00  -2.35996E+00   6.90908E-05   8.71501E-01   1.66747E-05   8.17255E-01   1.11179E-02   2.74506E-06   3.85687E-08   6.66662E-01   5.05323E-08   7.57607E-01   2.87732E-03   6.00000E+01   2.16000E+05   3.60125E+02
   3.56000E+00  -2.35172E+00   6.81806E-05   8.69578E-01   1.67985E-05   8.00206E-01   1.12856E-02   2.77360E-06   4.02494E-08   6.66662E-01           NaN   7.57840E-01   2.96909E-03   6.00000E+01   2.16000E+05   3.59938E+02
   3.57000E+00  -2.34346E+00   7.08444E-05   8.67621E-01   1.71172E-05   8.34699E-01   1.21120E-02   2.90380E-06   4.13824E-08   6.66662E-01           NaN   7.51715E-01   2.96676E-03   6.00000E+01   2.16000E+05   3.58234E+02
   3.58000E+00  -2.33525E+00   6.70718E-05   8.65676E-01   1.71228E-05   8.30553E-01   1.17182E-02   2.92821E-06   4.17145E-08   6.66661E-01           NaN   7.49336E-01   3.01341E-03   6.00000E+01   2.16000E+05   3.56391E+02
   3.59000E+00  -2.32688E+00   6.82181E-05   8.63687E-01   1.71449E-05   8.34220E-01   1.19048E-02   2.98564E-06   4.19576E-08   6.66661E-01   5.86659E-08   7.48213E-01   2.89453E-03   6.00000E+01   2.16000E+05   3.55062E+02
   3.60000E+00  -2.31849E+00   6.98600E-05   8.61687E-01   1.70475E-05   8.33873E-01   1.21274E-02   3.04007E-06   4.62764E-08   6.66661E-01           NaN   7.45444E-01   3.06388E-03   6.00000E+01   2.16000E+05   3.53398E+02
   3.61000E+00  -2.31008E+00   7.13552E-05   8.59672E-01   1.77567E-05   8.49069E-01   1.23574E-02   3.15453E-06   4.43105E-08   6.66661E-01   2.10734E-08   7.37516E-01   2.93363E-03   6.00000E+01   2.16000E+05   3.51203E+02
   3.62000E+00  -2.30148E+00   7.24951E-05   8.57591E-01   1.72710E-05   8.57925E-01   1.22304E-02   3.22767E-06   4.42948E-08   6.66661E-01   2.10734E-08   7.36938E-01   3.10892E-03   6.00000E+01   2.16000E+05   3.50281E+02
   3.63000E+00  -2.29271E+00   7.39668E-05   8.55465E-01   1.81101E-05   8.63498E-01   1.25845E-02   3.30446E-06   4.69033E-08   6.66661E-01   3.49463E-08   7.29465E-01   2.91545E-03   6.00000E+01   2.16000E+05   3.47273E+02
