# J =   -1.00000E+00  LX =         45  LY =         45  LZ =         45
#      T             E            dE             M            dM            Cv             dCv          Khi           dKhi       Binder        dBinder         MCsize      dMCsize         L             N            calctime  
#      1             2             3             4             5             6             7              8            9            10            11             12           13            14            15            16      
   3.50000E+00  -2.39909E+00   1.00039E-04   8.80572E-01   2.38035E-05   7.73116E-01   1.09544E-02   5.75495E-06   8.18693E-08   6.66657E-01           NaN   7.79946E-01   2.83007E-03   4.50000E+01   9.11250E+04   1.38816E+02
   3.51000E+00  -2.39163E+00   1.03010E-04   8.78843E-01   2.44722E-05   7.88784E-01   1.17933E-02   5.94320E-06   8.61487E-08   6.66656E-01   5.26836E-08   7.73647E-01   2.86957E-03   4.50000E+01   9.11250E+04   1.37461E+02
   3.52000E+00  -2.38369E+00   1.05244E-04   8.77017E-01   2.42202E-05   7.70914E-01   1.07344E-02   5.84641E-06   8.78622E-08   6.66657E-01           NaN   7.70028E-01   2.91571E-03   4.50000E+01   9.11250E+04   1.37410E+02
   3.53000E+00  -2.37578E+00   1.06372E-04   8.75191E-01   2.43274E-05   7.92543E-01   1.15012E-02   6.15367E-06   8.71092E-08   6.66656E-01   3.65002E-08   7.67110E-01   2.90091E-03   4.50000E+01   9.11250E+04   1.36781E+02
   3.54000E+00  -2.36779E+00   1.09255E-04   8.73322E-01   2.53117E-05   7.94905E-01   1.14978E-02   6.26450E-06   8.72438E-08   6.66656E-01           NaN   7.66779E-01   2.90773E-03   4.50000E+01   9.11250E+04   1.36496E+02
   3.55000E+00  -2.35990E+00   1.07432E-04   8.71496E-01   2.59386E-05   8.12436E-01   1.11439E-02   6.45522E-06   8.87983E-08   6.66655E-01   4.47035E-08   7.55253E-01   2.88658E-03   4.50000E+01   9.11250E+04   1.34641E+02
   3.56000E+00  -2.35170E+00   1.07396E-04   8.69564E-01   2.56638E-05   8.11457E-01   1.10921E-02   6.63520E-06   8.92229E-08   6.66655E-01   3.16101E-08   7.56799E-01   2.90288E-03   4.50000E+01   9.11250E+04   1.35082E+02
   3.57000E+00  -2.34337E+00   1.06330E-04   8.67600E-01   2.63550E-05   8.60236E-01   1.20444E-02   7.04308E-06   9.92445E-08   6.66654E-01   1.82501E-08   7.48235E-01   3.03617E-03   4.50000E+01   9.11250E+04   1.33578E+02
   3.58000E+00  -2.33525E+00   1.11142E-04   8.65680E-01   2.74032E-05   8.63856E-01   1.21201E-02   7.20789E-06   1.02115E-07   6.66654E-01           NaN   7.51677E-01   2.91499E-03   4.50000E+01   9.11250E+04   1.34297E+02
   3.59000E+00  -2.32709E+00   1.08372E-04   8.63735E-01   2.66732E-05   8.47612E-01   1.17380E-02   7.12452E-06   9.85020E-08   6.66654E-01   4.08085E-08   7.45401E-01   3.05833E-03   4.50000E+01   9.11250E+04   1.33012E+02
   3.60000E+00  -2.31801E+00   1.12762E-04   8.61571E-01   2.58424E-05   8.40103E-01   1.21670E-02   7.20697E-06   1.04088E-07   6.66654E-01   4.94216E-08   7.43800E-01   2.90866E-03   4.50000E+01   9.11250E+04   1.32895E+02
   3.61000E+00  -2.30995E+00   1.14498E-04   8.59636E-01   2.75584E-05   8.73630E-01   1.24003E-02   7.59842E-06   1.07477E-07   6.66653E-01   3.33200E-08   7.41441E-01   2.96214E-03   4.50000E+01   9.11250E+04   1.32422E+02
   3.62000E+00  -2.30131E+00   1.11417E-04   8.57562E-01   2.70704E-05   8.33019E-01   1.20942E-02   7.38195E-06   1.04088E-07   6.66653E-01           NaN   7.38273E-01   2.92074E-03   4.50000E+01   9.11250E+04   1.31875E+02
   3.63000E+00  -2.29276E+00   1.11797E-04   8.55501E-01   2.87018E-05   8.61711E-01   1.22868E-02   7.76272E-06   1.10796E-07   6.66653E-01           NaN   7.35389E-01   2.88394E-03   4.50000E+01   9.11250E+04   1.31375E+02
   3.64000E+00  -2.28420E+00   1.13460E-04   8.53385E-01   2.83043E-05   8.94853E-01   1.21448E-02   8.19871E-06   1.14007E-07   6.66652E-01   3.94248E-08   7.32538E-01   2.89307E-03   4.50000E+01   9.11250E+04   1.30844E+02
   3.65000E+00  -2.27485E+00   1.11627E-04   8.51109E-01   2.82649E-05   8.79337E-01   1.27712E-02   8.20250E-06   1.14953E-07   6.66652E-01   6.05288E-08   7.24744E-01   3.09311E-03   4.50000E+01   9.11250E+04   1.29582E+02
   3.66000E+00  -2.26612E+00   1.17216E-04   8.48967E-01   2.93690E-05   9.12804E-01   1.33160E-02   8.68014E-06   1.22718E-07   6.66651E-01   1.82501E-08   7.21306E-01   2.94364E-03   4.50000E+01   9.11250E+04   1.29125E+02
   3.67000E+00  -2.25723E+00   1.15172E-04   8.46783E-01   2.81851E-05   8.83313E-01   1.26920E-02   8.49163E-06   1.22580E-07   6.66651E-01   5.16191E-08   7.13851E-01   3.15831E-03   4.50000E+01   9.11250E+04   1.28012E+02
   3.68000E+00  -2.24799E+00   1.13465E-04   8.44475E-01   2.86500E-05   8.82722E-01   1.23545E-02   8.65872E-06   1.24261E-07   6.66650E-01   4.71216E-08   7.16801E-01   3.01324E-03   4.50000E+01   9.11250E+04   1.28148E+02
   3.69000E+00  -2.23897E+00   1.14349E-04   8.42232E-01   3.05533E-05   9.17323E-01   1.34267E-02   9.16189E-06   1.34899E-07   6.66649E-01           NaN   7.08499E-01   3.21015E-03   4.50000E+01   9.11250E+04   1.26906E+02
   3.70000E+00  -2.22977E+00   1.18040E-04   8.39933E-01   3.04642E-05   9.49175E-01   1.28411E-02   9.48248E-06   1.36101E-07   6.66649E-01   2.35608E-08   7.00355E-01   3.13258E-03   4.50000E+01   9.11250E+04   1.25848E+02
   3.71000E+00  -2.22016E+00   1.21825E-04   8.37526E-01   3.19506E-05   9.46417E-01   1.33629E-02   9.75159E-06   1.38440E-07   6.66648E-01   3.79907E-08   7.00102E-01   3.07871E-03   4.50000E+01   9.11250E+04   1.25605E+02
   3.72000E+00  -2.21095E+00   1.19632E-04   8.35191E-01   3.18179E-05   9.54573E-01   1.29953E-02   9.97012E-06   1.45189E-07   6.66648E-01   4.21468E-08   6.96908E-01   3.15369E-03   4.50000E+01   9.11250E+04   1.25098E+02
